material,price,title
"Main: 50% Acrylic, 35% Polyester, 10% Polyamide, 5% Elastane.",£35.00,Mango cardigan in beige
Ribbed texture,£45.00,ASOS DESIGN co-ord ribbed knitted top with tie waist detail in brown
"Main: 52% Polyester, 38% Acrylic, 8% Wool, 2% Elastane.",£35.00,& Other Stories mock neck sweater in black
Main: 100% Cotton.,£29.99,River Island slouch cable knit jumper in lime
Main: 100% Acrylic.,£30.00,ASOS DESIGN jumper in pointelle stitch and open back detail in black
"Main: 69% Polyester, 31% Acrylic.",£40.00,Topshop knitted textured cable jumper in pink
"Main: 90% Nylon, 10% Elastane.",£29.99,Neon & Nylon textured mesh maxi cardigan in pink
"Main: 50% Polyester, 32% Acrylic, 18% Polyamide.",£45.00,Vila cable knit jumper with frill detail in cream 
"Main: 89% Polyester, 11% Nylon.",£18.00,ASOS DESIGN Curve knitted top with scoop neck with rib bust detail in dark red
"Main: 51% Viscose, 31% Polyester, 18% Nylon.",£29.99,Miss Selfridge tie front cardi with butterfly trim in white
"Main: 78% Polyester, 22% Viscose.",£28.00,JDY Petite seam detail high neck jumper in camel
"Main: 53% Viscose, 28% Polyester, 19% Polyamide.",£18.00,Urban Revivo bold stripe funnel neck jumper in monochrome
"Main: 50% Acrylic, 50% Polyester.",£28.00,ASOS DESIGN Petite chunky v neck jumper in grey
"Main: 80% Viscose, 20% Nylon.",£26.00,Threadbare ellie high neck jumper in sage green
"Main: 56% Polyester, 44% Cotton.",£26.00,ASOS DESIGN super soft co-ord roll neck with cuff detail in charcoal marl
"Main: 96% Polyester, 4% Elastane.",£26.00,Vero Moda oversized jumper with contrast stitch detail in mono 
"Main: 65% Nylon, 35% Acrylic.",£25.99,Miss Selfridge fitted lash jumper in orange 
Main: 100% Acrylic.,£25.99,Violet Romance oversized cardigan in orange
"Main: 80% Viscose, 18% Nylon, 2% Elastane.",£25.99,JJXX soft crew neck jumper in black
Main: 100% Acrylic.,£32.99,ASOS DESIGN Curve jumper with open ladder stitch detail in cream
"Main: 80% Acrylic, 20% Polyester.",£32.99,ASOS DESIGN Curve deconstructed crew neck jumper in burgundy
"Main: 97% Polyester, 3% Elastane.",£32.99,Noisy May lightweight longline cardigan in black
"Main: 82% Viscose, 16% Nylon, 2% Elastane.",£32.99,ASOS DESIGN Maternity rib jumper with v neck in dark green
Main: 100% Cotton.,£32.99,Calvin Klein Jeans logo mock neck jumper in black
"Main: 80% Polyester, 10% Acrylic, 10% Polyamide.",£32.99,Cotton:On crop knitted sweater in multi wave
Main: 100% Wool.,£32.99,& Other Stories merino rib knit fitted jumper in grey
"Main: 51% Acrylic, 49% Cotton.",£32.99,ASOS DESIGN Curve zip through bardot cardigan in rib in cream
"Shell: 60% Cotton, 40% Acrylic.",£32.99,NA-KD braided knitted sweater in brown
"Main: 85% Acrylic, 10% Polyamide, 5% Polyester.",£32.99,Bershka cable knit roll neck jumper in blue
"Main: 80% Acrylic, 20% Polyester.",£32.99,JDY jumper in multi abstract print
Main: 100% Cotton.,£32.99,Cotton:On boyfriend cardigan in multi 
"Main: 80% Acrylic, 20% Polyester.",£32.99,ASOS DESIGN Petite jumper in loose sheer knit yarn in lilac
"Main: 52% Polyester, 41% Acrylic, 4% Wool, 3% Elastane.",£32.99,Monki slouchy knitted jumper in orange
"Main: 92% Polyester, 8% Elastane.",£32.99,HIIT rib button lounge cardigan
"Main: 70% Acrylic, 27% Nylon, 3% Elastane.",£32.99,Vero Moda Curve v-neck jumper in purple
Main: 100% Acrylic.,£32.99,COLLUSION skate slogan fine knit jumper in white
"Main: 51% Polyester, 44% Acrylic, 5% Wool.",£32.99,Bershka shoulder detail mixed knit jumper in cream
"Main: 100% Acrylic, Trim: 100% Polyester.",£32.99,ASOS DESIGN double ended sporty zip through cardigan with contrast trim in navy
Main: 100% Acrylic.,£32.99,Native Youth relaxed jumper with high neck in checkerboard knit
"Main: 40% Acrylic, 32% Nylon, 28% Polyester.",£32.99,ASOS DESIGN cropped jumper in mini cable stitch in cream
"Main: 82% Viscose, 16% Nylon, 2% Elastane.",£32.99,Only Curve roll neck jumper in black
"Main: 70% Polyester, 26% Acrylic, 3% Wool, 1% Elastane.",£32.99,Topshop knitted boucle stripe jumper in rust and blue
Main: 100% Acrylic.,£32.99,ASOS DESIGN jumper with open collar in textured green stripe 
"Main: 95% Polyester, 5% Elastane.",£32.99,Vila Curve cut out sleeve jumper in cream
"Main: 95% Polyester, 5% Elastane.",£32.99,Vila longline jumper with side split in cream
"Main: 52% Polyester, 41% Acrylic, 4% Wool, 3% Elastane.",£32.99,Vila Curve high neck jumper in brown
Main: 100% Polyamide.,£32.99,Labelrail x Holly Marston off shoulder asymmetric fluffy knit jumper in tiger
"Main: 82% Polyester, 15% Acrylic, 3% Elastane.",£32.99,Pieces Tall high neck jumper in light grey marl
Main: 100% Polyester.,£32.99,Pull&Bear open knit cropped jumper in pale grey
"Main: 50% Viscose, 27% Polyester, 23% Nylon.",£32.99,River Island Plus longline cardigan in beige and black stripe
"Main: 51% Cotton, 49% Acrylic.",£32.99,Pull&Bear cable knit crop jumper in ecru
"Main: 68% Viscose, 32% Nylon.",£32.99,ASOS DESIGN knitted off should jumper with button front in green
"Main: 51% Acrylic, 49% Cotton.",£32.99,ASOS DESIGN off shoulder zip through cardigan in rib in cream
"Main: 56% Acrylic, 44% Polyamide.",£32.99,Pimkie ombre textured pointelle jumper in pink and orange stripe
Main: 100% Polyester.,£32.99,ASOS DESIGN jumper with vertical stripe pattern in black and white
Main: 100% Cotton.,£32.99,Levi's graphic crew neck sweatshirt in pink 
Main: 100% Acrylic.,£32.99,Noisy May cropped cardigan in green check
"Main: 66% Nylon, 34% Acrylic.",£32.99,Miss Selfridge diamante shoulder fluffy cable knit jumper in ivory 
"Main: 53% Polyester, 42% Acrylic, 5% Nylon.",£32.99,Topshop knitted shaggy jumper in black
"Main: 45% Nylon, 41% Acrylic, 14% Wool.",£32.99,ASOS DESIGN Curve jumper with loose textured stitch in pink
"Main: 52% Cotton, 48% Acrylic.",£32.99,ASOS DESIGN scoop neck cardi with short sleeves in pointelle stitch in cream
"Main: 63% Acrylic, 25% Polyester, 7% Polyamide, 5% Wool.",£32.99,NA-KD x Moa Mattson button detail ribbed cardigan in beige
"Main: 68% Viscose, 32% Polyamide.",£32.99,ASOS DESIGN jumper in rib with cut out side detail in navy
"Main: 50% Viscose, 27% Polyester, 23% Nylon.",£32.99,River Island Plus v-neck stripe jumper in black and white
"Main: 98% Polyester, 2% Elastane.",£32.99,Vero Moda high neck knitted jumper in pink 
"Main: 90% Acrylic, 6% Polyester, 4% Nylon.",£32.99,River Island cable knit jumper with pearl embellishment in cream
"Main: 75% Polyester, 21% Acrylic, 4% Elastane.",£32.99,ASOS DESIGN edge to edge chunky cardigan in navy
"Fabric 1: 45% Polyamide, 30% Acrylic, 20% Viscose, 5% Wool.",£32.99,Cotton:On Everfine Roll Neck Knit jumper in grey
"Main: 70% Acrylic, 27% Polyester, 3% Elastane.",£32.99,In The Style Plus 2 in white jumper and shirt in black
Body: 100% Acrylic.,£32.99,Daisy Street relaxed v neck knitted jumper in green
"Main: 82% Viscose, 16% Nylon, 2% Elastane.",£32.99,ASOS DESIGN rib jumper with v neck in cream
Main: 100% Cotton.,£32.99,Dickies elkhart knitted zip cardigan in blue
"Main: 68% Polyester, 23% Nylon, 8% Wool, 1% Elastane.",£32.99,ASOS DESIGN Curve chunky oversized v neck jumper in brushed yarn in grey
"Main: 63% Viscose, 33% Polyester, 4% Elastane.",£32.99,JDY roll neck longline jumper in light brown
"Main: 70% Polyester, 21% Nylon, 8% Wool, 1% Elastane.",£32.99,Native Youth whipstich wide arm cropped jumper in blue and orange
"Main: 60% Cotton, 20% Nylon, 20% Viscose.",£32.99,Hollister logo cardigan in white with navy tipping
"Main: 60% Cotton, 40% Acrylic.",£32.99,ASOS DESIGN crew neck boxy jumper with seam front in lime
"Main: 85% Polyester, 15% Acrylic.",£32.99,ASOS DESIGN chunky jumper in dogtooth pattern in green
"Main: 50% Viscose, 28% Polyester, 22% Polyamide.",£32.99,Pimkie knitted v neck jumper in blue
"Main: 50% Viscose, 28% Polyester, 22% Polyamide.",£32.99,Mango half zip wide stripe jumper in navy & white
"Main: 50% Acrylic, 50% Polyester.",£32.99,Tommy Jeans badge logo cable knit cardigan in white
Main: 100% Acrylic.,£32.99,Wednesday's Girl spacedye fluffy v-neck jumper in rainbow ombre
Main: 100% Acrylic.,£32.99,ASOS DESIGN crop zip cardigan with cable detail in navy
Faux Fur: 100% Polyester.,£32.99,Hollister sherpa zipped jumper in tan
"Main: 80% Acrylic, 20% Polyester.",£32.99,ASOS DESIGN jumper with volume sleeve and textured stitch in red
"Main: 80% Acrylic, 20% Polyester.",£32.99,ASOS DESIGN super crop cardigan in sheer yarn in grey
"Main: 68% Polyester, 23% Nylon, 8% Wool, 1% Elastane.",£32.99,ASOS EDITION oversized crew neck knitted jumper in buttermilk yellow
"Main: 80% Wool, 20% Polyamide.",£25.99,Barbour Burne turtle neck cape jumper in dark green
"Main: 69% Alpaca, 31% Nylon.",£25.99,AllSaints Britt chunky knit jumper in black stripe
"Main: 50% Viscose, 28% Polyester, 22% Polyamide.",£32.99,Mango quarter zip striped jumper in white
Main: 100% Cotton.,£32.99,Cotton:On relaxed jumper in green marl
"Body: 80% Acrylic, 20% Polyester.",£25.99,COLLUSION Unisex open stitch backless jumper in white
"Main: 78% Polyester, 22% Viscose.",£25.99,JDY Tall seam detail high neck jumper in camel
"Main: 50% Cotton, 50% Polyester.",£25.99,Only oversized jacquard jumper in strawberry and floral print
"Main: 57% Acrylic, 35% Polyester, 7% Polyamide, 1% Elastane.",£25.99,Cotton:On Maternity v-neck jumper in grey marle
"Main: 52% Polyester, 38% Acrylic, 8% Wool, 2% Elastane.",£25.99,& Other Stories wrap cardigan in dark green
"Main: 70% Viscose, 30% Polyamide.",£25.99,ASOS DESIGN jumper with plunge sweetheart neckline in black
Main: 100% Acrylic.,£25.99,Reclaimed Vintage knitted zip through cardigan in colour block
"Main: 66% Polyester, 27% Acrylic, 5% Wool, 2% Elastane.",£25.99,River Island v-neck jumper in beige
